country,week,cumulative_cases,cumulative_deaths,population,std_cum_cases,std_cum_deaths,lethality,lethality_Q5
Cayman Islands,51,474,1,65720.0,0.007212416311625076,1.5216068167985393e-05,0.002109704641350211,L1
Cayman Islands,52,482,1,65720.0,0.007334144856968959,1.5216068167985393e-05,0.002074688796680498,L1
Cayman Islands,53,499,1,65720.0,0.007592818015824711,1.5216068167985393e-05,0.002004008016032064,L1
Cayman Islands,54,501,1,65720.0,0.0076232501521606814,1.5216068167985393e-05,0.001996007984031936,L1
Cayman Islands,55,523,1,65720.0,0.00795800365185636,1.5216068167985393e-05,0.0019120458891013384,L1
Cayman Islands,56,531,1,65720.0,0.008079732197200243,1.5216068167985393e-05,0.0018832391713747645,L1
Cayman Islands,57,541,1,65720.0,0.008231892878880098,1.5216068167985393e-05,0.0018484288354898336,L1
Cayman Islands,58,545,1,65720.0,0.00829275715155204,1.5216068167985393e-05,0.001834862385321101,L1
Cayman Islands,59,548,1,65720.0,0.008338405356055996,1.5216068167985393e-05,0.0018248175182481751,L1
Cayman Islands,60,565,1,65720.0,0.008597078514911746,1.5216068167985393e-05,0.0017699115044247787,L1
Cayman Islands,61,578,1,65720.0,0.008794887401095557,1.5216068167985393e-05,0.0017301038062283738,L1
Cayman Islands,62,584,1,65720.0,0.00888618381010347,1.5216068167985393e-05,0.0017123287671232876,L1
Cayman Islands,63,591,1,65720.0,0.008992696287279367,1.5216068167985393e-05,0.001692047377326565,L1
Cayman Islands,64,593,1,65720.0,0.009023128423615337,1.5216068167985393e-05,0.0016863406408094434,L1
Cayman Islands,65,609,1,65720.0,0.009266585514303104,1.5216068167985393e-05,0.0016420361247947454,L1
Cayman Islands,66,614,1,65720.0,0.009342665855143031,1.5216068167985393e-05,0.0016286644951140066,L1
Cayman Islands,67,615,1,65720.0,0.009357881923311016,1.5216068167985393e-05,0.0016260162601626016,L1
Cayman Islands,68,619,1,65720.0,0.009418746195982958,1.5216068167985393e-05,0.0016155088852988692,L1
Chile,1,75,0,19116209.0,3.923372045158117e-06,0.0,0.0,L1
Chile,2,632,1,19116209.0,3.306094843386573e-05,5.231162726877489e-08,0.0015822784810126582,L1
Chile,3,2139,7,19116209.0,0.0001118945707279095,3.6618139088142426e-07,0.0032725572697522207,L1
Chile,4,4471,34,19116209.0,0.00023388528551869254,1.7785953271383464e-06,0.0076045627376425855,L2
Chile,5,7213,80,19116209.0,0.0003773237674896733,4.184930181501991e-06,0.011091085539997228,L2
Chile,6,10088,133,19116209.0,0.0005277196958874011,6.95744642674706e-06,0.013183980967486122,L2
Chile,7,13331,189,19116209.0,0.0006973663031200381,9.886897553798454e-06,0.014177481059185357,L2
Chile,8,19663,260,19116209.0,0.0010286035269859207,1.3601023089881472e-05,0.013222804251640137,L2
Chile,9,28866,312,19116209.0,0.001510027432740456,1.6321227707857766e-05,0.010808563708168779,L2
Chile,10,43781,450,19116209.0,0.0022902553534542335,2.3540232270948702e-05,0.010278431282976635,L2
Chile,11,69102,718,19116209.0,0.0036148380675268825,3.755974837898037e-05,0.010390437324534745,L2
Chile,12,99688,1054,19116209.0,0.005214841499169631,5.5136455141288734e-05,0.010572987721691678,L2
Chile,13,134150,2190,19116209.0,0.007017604798106152,0.00011456246371861702,0.016325009317927693,L3
Chile,14,174293,3323,19116209.0,0.009117550451556582,0.00017383153741413896,0.019065596438181683,L3
Chile,15,242355,4479,19116209.0,0.012677984426723939,0.00023430377853684274,0.01848115367951971,L3
Chile,16,271982,5509,19116209.0,0.014227821007815932,0.0002881847546236809,0.0202550168761168,L3
Chile,17,295532,6308,19116209.0,0.015459759829995581,0.000329981744811432,0.021344558288104165,L3
Chile,18,315041,6979,19116209.0,0.016480307366382112,0.00036508284670878,0.02215267219187344,L3
Chile,19,330930,8503,19116209.0,0.017311486812055674,0.0004448057666663929,0.025694255582751638,L4
